recordId,identifier,nb_occ
1,http://gallica.bnf.fr/ark:/12148/bpt6k57586560,11
10,http://gallica.bnf.fr/ark:/12148/bpt6k5790685b,38
1000,http://gallica.bnf.fr/ark:/12148/bpt6k61259368,2
1001,http://gallica.bnf.fr/ark:/12148/bpt6k9799148z,1
1002,http://gallica.bnf.fr/ark:/12148/bpt6k7008845,4
1003,http://gallica.bnf.fr/ark:/12148/bpt6k76026595,1
1004,http://gallica.bnf.fr/ark:/12148/bpt6k7017577,3
1005,http://gallica.bnf.fr/ark:/12148/bpt6k705963s,5
1006,http://gallica.bnf.fr/ark:/12148/bpt6k6278361t,1
1008,http://gallica.bnf.fr/ark:/12148/bpt6k54230347,1
1009,http://gallica.bnf.fr/ark:/12148/bpt6k5705997n,1
101,http://gallica.bnf.fr/ark:/12148/bpt6k6239561q,1
1011,http://gallica.bnf.fr/ark:/12148/bpt6k57348631,1
1012,http://gallica.bnf.fr/ark:/12148/bpt6k54971z,2
1013,http://gallica.bnf.fr/ark:/12148/bpt6k7642953t,1
1015,http://gallica.bnf.fr/ark:/12148/bpt6k76401892,2
1016,http://gallica.bnf.fr/ark:/12148/bpt6k55533617,1
1017,http://gallica.bnf.fr/ark:/12148/bpt6k120779n,23
1018,http://gallica.bnf.fr/ark:/12148/bpt6k75533355,1
1019,http://gallica.bnf.fr/ark:/12148/bpt6k6137813t,1
102,http://gallica.bnf.fr/ark:/12148/bpt6k57593761,1
1020,http://gallica.bnf.fr/ark:/12148/bpt6k7530215k,1
1023,http://gallica.bnf.fr/ark:/12148/bpt6k7572425c,1
1024,http://gallica.bnf.fr/ark:/12148/bpt6k5868707c,1
1025,http://gallica.bnf.fr/ark:/12148/bpt6k472280d,1
1026,http://gallica.bnf.fr/ark:/12148/bpt6k6229061q,1
1027,http://gallica.bnf.fr/ark:/12148/bpt6k7558656x,3
1028,http://gallica.bnf.fr/ark:/12148/bpt6k5691524c,1
1029,http://gallica.bnf.fr/ark:/12148/bpt6k6380889n,1
103,http://gallica.bnf.fr/ark:/12148/bpt6k75037852,1
1030,http://gallica.bnf.fr/ark:/12148/bpt6k62032506,4
1031,http://gallica.bnf.fr/ark:/12148/bpt6k75683424,1
1033,http://gallica.bnf.fr/ark:/12148/bpt6k57593746,1
1035,http://gallica.bnf.fr/ark:/12148/bpt6k7574408g,2
1037,http://gallica.bnf.fr/ark:/12148/bpt6k6067459,3
1038,http://gallica.bnf.fr/ark:/12148/bpt6k5740475w,1
1039,http://gallica.bnf.fr/ark:/12148/bpt6k7609448v,5
1041,http://gallica.bnf.fr/ark:/12148/bpt6k5427922c,1
1042,http://gallica.bnf.fr/ark:/12148/bpt6k482333c,1
1044,http://gallica.bnf.fr/ark:/12148/bpt6k6452306,1
1045,http://gallica.bnf.fr/ark:/12148/bpt6k6282720p,2
1046,http://gallica.bnf.fr/ark:/12148/bpt6k7531555f,1
1047,http://gallica.bnf.fr/ark:/12148/bpt6k7606093c,1
1048,http://gallica.bnf.fr/ark:/12148/bpt6k6543026p,1
1049,http://gallica.bnf.fr/ark:/12148/bpt6k55140830,1
105,http://gallica.bnf.fr/ark:/12148/bpt6k6152504t,1
1050,http://gallica.bnf.fr/ark:/12148/bpt6k7609456d,1
1051,http://gallica.bnf.fr/ark:/12148/bpt6k7572485n,1
1052,http://gallica.bnf.fr/ark:/12148/bpt6k7648960t,2
1053,http://gallica.bnf.fr/ark:/12148/bpt6k7645909b,1
1054,http://gallica.bnf.fr/ark:/12148/bpt6k7521552x,1
1055,http://gallica.bnf.fr/ark:/12148/bpt6k75003012,1
1056,http://gallica.bnf.fr/ark:/12148/bpt6k56683241,1
1057,http://gallica.bnf.fr/ark:/12148/bpt6k824265s,3
1059,http://gallica.bnf.fr/ark:/12148/bpt6k55653540,1
106,http://gallica.bnf.fr/ark:/12148/bpt6k463740m,6
1061,http://gallica.bnf.fr/ark:/12148/bpt6k58523496,2
1062,http://gallica.bnf.fr/ark:/12148/bpt6k474298b,2
1063,http://gallica.bnf.fr/ark:/12148/bpt6k488869w,1
1066,http://gallica.bnf.fr/ark:/12148/bpt6k5742155q,1
1067,http://gallica.bnf.fr/ark:/12148/bpt6k5501899d,1
1069,http://gallica.bnf.fr/ark:/12148/bpt6k6587096p,1
107,http://gallica.bnf.fr/ark:/12148/bpt6k5653021x,1
1071,http://gallica.bnf.fr/ark:/12148/bpt6k6068057,5
1072,http://gallica.bnf.fr/ark:/12148/bpt6k58350521,1
1073,http://gallica.bnf.fr/ark:/12148/bpt6k6229129v,1
1075,http://gallica.bnf.fr/ark:/12148/bpt6k5749410b,1
1077,http://gallica.bnf.fr/ark:/12148/bpt6k4637609,1
1078,http://gallica.bnf.fr/ark:/12148/bpt6k7570374w,4
108,http://gallica.bnf.fr/ark:/12148/bpt6k523864c,2
1080,http://gallica.bnf.fr/ark:/12148/bpt6k7770124,2
1081,http://gallica.bnf.fr/ark:/12148/bpt6k5728140k,1
1082,http://gallica.bnf.fr/ark:/12148/bpt6k830423d,1
1083,http://gallica.bnf.fr/ark:/12148/bpt6k5422322r,1
1085,http://gallica.bnf.fr/ark:/12148/bpt6k279875b,3
1086,http://gallica.bnf.fr/ark:/12148/bpt6k6433409,5
1087,http://gallica.bnf.fr/ark:/12148/bpt6k64616911,1
1088,http://gallica.bnf.fr/ark:/12148/bpt6k75935816,1
1089,http://gallica.bnf.fr/ark:/12148/bpt6k486678p,2
